Sr. No.,Q,P1,P2,Pcd,Phd,T1,T2,T3,T4,Eff,Status,,,,
24,650,0.2,0.26,40,33,312.32,335.31,339.12,317.22,L_Stable,L_Stable,,,,
25,300,0.08,0.06,9,6,315.24,360.25,368.22,321.17,0.891235,L_Stable,,,,
26,400,0.14,0.12,15,12,314.27,358.25,367.17,321.16,0.890783,L_Stable,,,,
27,500,0.2,0.17,21,21,313.31,354.31,366.14,321.15,0.901146,L_Stable,,,,
28,550,0.24,0.2,25,27,312.67,351.27,365.12,321.14,0.901345,L_Stable,,,,
29,588,0.26,0.24,32,31,311.21,349.29,364.14,321.13,0.912367,H_Stable,,,,
30,650,0.32,0.26,37,35,311.17,347.73,363.12,321.12,0.943256,H_Stable,,,,
31,300,0.09,0.06,10,7,316.63,347.02,362.14,321.11,0.891235,L_Stable,,,,
32,400,0.08,0.12,16,14,315.74,346.65,361.12,321.11,0.890783,L_Stable,,,,
33,500,0.14,0.17,22,22,314.32,346.21,360.14,320.14,0.901146,L_Stable,,,,
34,550,0.2,0.2,24,26,313.72,345.93,359.12,320.13,0.901345,L_Stable,,,,
35,588,0.24,0.24,31,30,312.43,345.89,358.14,320.12,0.912367,H_Stable,,,,
36,650,0.28,0.26,40,33,312.32,344.65,357.12,320.11,0.943256,H_Stable,,,,
37,300,0.32,0.06,9,6,315.24,344.69,356.14,320.09,0.891235,L_Stable,,,,
38,400,0.09,0.12,15,12,314.27,343.34,354.12,320.08,0.890783,L_Stable,,,,
39,500,0.08,0.17,21,21,313.31,342.91,353.14,320.07,0.901146,L_Stable,,,,
40,550,0.14,0.2,25,27,312.67,341.68,352.12,319.43,0.901345,L_Stable,,,,
41,588,0.2,0.24,32,31,311.21,340.47,351.14,319.4,0.912367,H_Stable,,,,
42,650,0.24,0.26,37,35,311.17,339.37,350.12,319.39,0.943256,H_Stable,,,,
43,300,0.28,0.06,10,7,316.63,339.27,349.14,319.36,0.891235,L_Stable,,,,
44,400,0.32,0.12,16,14,315.74,338.28,347.12,318.91,0.890783,L_Stable,,,,
45,500,0.09,0.17,22,22,314.32,337.34,345.14,318.63,0.901146,L_Stable,,,,
46,550,0.08,0.2,24,26,313.72,336.32,342.12,318.41,0.901345,L_Stable,,,,
47,588,0.14,0.24,31,30,312.43,336.15,340.14,317.47,L_Stable,L_Stable,,,,
48,650,0.2,0.26,40,33,312.32,335.31,339.12,317.22,L_Stable,L_Stable,,,,
49,300,0.08,0.06,9,6,315.24,360.25,368.22,321.17,0.891235,L_Stable,,,,
50,400,0.14,0.12,15,12,314.27,358.25,367.17,321.16,0.890783,L_Stable,,,,
51,500,0.2,0.17,21,21,313.31,354.31,366.14,321.15,0.901146,L_Stable,,,,
52,550,0.24,0.2,25,27,312.67,351.27,365.12,321.14,0.901345,L_Stable,,,,
53,588,0.26,0.24,32,31,311.21,349.29,364.14,321.13,0.912367,H_Stable,,,,
54,650,0.32,0.26,37,35,311.17,347.73,363.12,321.12,0.943256,H_Stable,,,,
55,300,0.09,0.06,10,7,316.63,347.02,362.14,321.11,0.891235,L_Stable,,,,
56,400,0.08,0.12,16,14,315.74,346.65,361.12,321.11,0.890783,L_Stable,,,,
57,500,0.14,0.17,22,22,314.32,346.21,360.14,320.14,0.901146,L_Stable,,,,
58,550,0.2,0.2,24,26,313.72,345.93,359.12,320.13,0.901345,L_Stable,,,,
59,588,0.24,0.24,31,30,312.43,345.89,358.14,320.12,0.912367,H_Stable,,,,
60,650,0.28,0.26,40,33,312.32,344.65,357.12,320.11,0.943256,H_Stable,,,,
61,300,0.32,0.06,9,6,315.24,344.69,356.14,320.09,0.891235,L_Stable,,,,
62,400,0.09,0.12,15,12,314.27,343.34,354.12,320.08,0.890783,L_Stable,,,,
63,500,0.08,0.17,21,21,313.31,342.91,353.14,320.07,0.901146,L_Stable,,,,
64,550,0.14,0.2,25,27,312.67,341.68,352.12,319.43,0.901345,L_Stable,,,,
65,588,0.2,0.24,32,31,311.21,340.47,351.14,319.4,0.912367,H_Stable,,,,
66,650,0.24,0.26,37,35,311.17,339.37,350.12,319.39,0.943256,H_Stable,,,,
67,300,0.28,0.06,10,7,316.63,339.27,349.14,319.36,0.891235,L_Stable,,,,
68,400,0.32,0.12,16,14,315.74,338.28,347.12,318.91,0.890783,L_Stable,,,,
69,500,0.09,0.17,22,22,314.32,337.34,345.14,318.63,0.901146,L_Stable,,,,
70,550,0.08,0.2,24,26,313.72,336.32,342.12,318.41,0.901345,L_Stable,,,,
71,588,0.14,0.24,31,30,312.43,336.15,340.14,317.47,L_Stable,L_Stable,,,,
72,650,0.2,0.26,40,33,312.32,335.31,339.12,317.22,L_Stable,L_Stable,,,,
73,300,0.08,0.06,9,6,315.24,360.25,368.22,321.17,0.891235,L_Stable,,,,
74,400,0.14,0.12,15,12,314.27,358.25,367.17,321.16,0.890783,L_Stable,,,,
75,500,0.2,0.17,21,21,313.31,354.31,366.14,321.15,0.901146,L_Stable,,,,
76,550,0.24,0.2,25,27,312.67,351.27,365.12,321.14,0.901345,L_Stable,,,,
77,588,0.26,0.24,32,31,311.21,349.29,364.14,321.13,0.912367,H_Stable,,,,
78,650,0.32,0.26,37,35,311.17,347.73,363.12,321.12,0.943256,H_Stable,,,,
79,300,0.09,0.06,10,7,316.63,347.02,362.14,321.11,0.891235,L_Stable,,,,
80,400,0.08,0.12,16,14,315.74,346.65,361.12,321.11,0.890783,L_Stable,,,,
81,500,0.14,0.17,22,22,314.32,346.21,360.14,320.14,0.901146,L_Stable,,,,
82,550,0.2,0.2,24,26,313.72,345.93,359.12,320.13,0.901345,L_Stable,,,,
83,588,0.24,0.24,31,30,312.43,345.89,358.14,320.12,0.912367,H_Stable,,,,
84,650,0.28,0.26,40,33,312.32,344.65,357.12,320.11,0.943256,H_Stable,,,,
85,300,0.32,0.06,9,6,315.24,344.69,356.14,320.09,0.891235,L_Stable,,,,
86,400,0.09,0.12,15,12,314.27,343.34,354.12,320.08,0.890783,L_Stable,,,,
87,500,0.08,0.17,21,21,313.31,342.91,353.14,320.07,0.901146,L_Stable,,,,
88,550,0.14,0.2,25,27,312.67,341.68,352.12,319.43,0.901345,L_Stable,,,,
89,588,0.2,0.24,32,31,311.21,340.47,351.14,319.4,0.912367,H_Stable,,,,
90,650,0.24,0.26,37,35,311.17,339.37,350.12,319.39,0.943256,H_Stable,,,,
91,300,0.28,0.06,10,7,316.63,339.27,349.14,319.36,0.891235,L_Stable,,,,
92,400,0.32,0.12,16,14,315.74,338.28,347.12,318.91,0.890783,L_Stable,,,,
93,500,0.09,0.17,22,22,314.32,337.34,345.14,318.63,0.901146,L_Stable,,,,
94,550,0.08,0.2,24,26,313.72,336.32,342.12,318.41,0.901345,L_Stable,,,,
95,588,0.14,0.24,31,30,312.43,336.15,340.14,317.47,L_Stable,L_Stable,,,,
96,650,0.2,0.26,40,33,312.32,335.31,339.12,317.22,L_Stable,L_Stable,,,,
97,300,0.08,0.06,9,6,315.24,360.25,368.22,321.17,0.891235,L_Stable,,,,
98,400,0.14,0.12,15,12,314.27,358.25,367.17,321.16,0.890783,L_Stable,,,,
99,500,0.2,0.17,21,21,313.31,354.31,366.14,321.15,0.901146,L_Stable,,,,
100,550,0.24,0.2,25,27,312.67,351.27,365.12,321.14,0.901345,L_Stable,,,,
101,588,0.26,0.24,32,31,311.21,349.29,364.14,321.13,0.912367,H_Stable,,,,
102,650,0.32,0.26,37,35,311.17,347.73,363.12,321.12,0.943256,H_Stable,,,,
103,300,0.09,0.06,10,7,316.63,347.02,362.14,321.11,0.891235,L_Stable,,,,
104,400,0.08,0.12,16,14,315.74,346.65,361.12,321.11,0.890783,L_Stable,,,,
105,500,0.14,0.17,22,22,314.32,346.21,360.14,320.14,0.901146,L_Stable,,,,
106,550,0.2,0.2,24,26,313.72,345.93,359.12,320.13,0.901345,L_Stable,,,,
107,588,0.24,0.24,31,30,312.43,345.89,358.14,320.12,0.912367,H_Stable,,,,
108,650,0.28,0.26,40,33,312.32,344.65,357.12,320.11,0.943256,H_Stable,,,,
109,300,0.32,0.06,9,6,315.24,344.69,356.14,320.09,0.891235,L_Stable,,,,
110,400,0.09,0.12,15,12,314.27,343.34,354.12,320.08,0.890783,L_Stable,,,,
111,500,0.08,0.17,21,21,313.31,342.91,353.14,320.07,0.901146,L_Stable,,,,
112,550,0.14,0.2,25,27,312.67,341.68,352.12,319.43,0.901345,L_Stable,,,,
113,588,0.2,0.24,32,31,311.21,340.47,351.14,319.4,0.912367,H_Stable,,,,
114,650,0.24,0.26,37,35,311.17,339.37,350.12,319.39,0.943256,H_Stable,,,,
115,300,0.28,0.06,10,7,316.63,339.27,349.14,319.36,0.891235,L_Stable,,,,
116,400,0.32,0.12,16,14,315.74,338.28,347.12,318.91,0.890783,L_Stable,,,,
117,500,0.09,0.17,22,22,314.32,337.34,345.14,318.63,0.901146,L_Stable,,,,
118,550,0.08,0.2,24,26,313.72,336.32,342.12,318.41,0.901345,L_Stable,,,,
119,588,0.14,0.24,31,30,312.43,336.15,340.14,317.47,L_Stable,L_Stable,,,,
120,650,0.2,0.26,40,33,312.32,335.31,339.12,317.22,L_Stable,L_Stable,,,,
121,300,0.08,0.06,9,6,315.24,360.25,368.22,321.17,0.891235,L_Stable,,,,
122,400,0.14,0.12,15,12,314.27,358.25,367.17,321.16,0.890783,L_Stable,,,,
123,500,0.2,0.17,21,21,313.31,354.31,366.14,321.15,0.901146,L_Stable,,,,
124,550,0.24,0.2,25,27,312.67,351.27,365.12,321.14,0.901345,L_Stable,,,,
125,588,0.26,0.24,32,31,311.21,349.29,364.14,321.13,0.912367,H_Stable,,,,
126,650,0.32,0.26,37,35,311.17,347.73,363.12,321.12,0.943256,H_Stable,,,,
127,300,0.09,0.06,10,7,316.63,347.02,362.14,321.11,0.891235,L_Stable,,,,
128,400,0.08,0.12,16,14,315.74,346.65,361.12,321.11,0.890783,L_Stable,,,,
129,500,0.14,0.17,22,22,314.32,346.21,360.14,320.14,0.901146,L_Stable,,,,
130,550,0.2,0.2,24,26,313.72,345.93,359.12,320.13,0.901345,L_Stable,,,,
131,588,0.24,0.24,31,30,312.43,345.89,358.14,320.12,0.912367,H_Stable,,,,
132,650,0.28,0.26,40,33,312.32,344.65,357.12,320.11,0.943256,H_Stable,,,,
133,300,0.32,0.06,9,6,315.24,344.69,356.14,320.09,0.891235,L_Stable,,,,
134,400,0.09,0.12,15,12,314.27,343.34,354.12,320.08,0.890783,L_Stable,,,,
135,500,0.08,0.17,21,21,313.31,342.91,353.14,320.07,0.901146,L_Stable,,,,
136,550,0.14,0.2,25,27,312.67,341.68,352.12,319.43,0.901345,L_Stable,,,,
137,588,0.2,0.24,32,31,311.21,340.47,351.14,319.4,0.912367,H_Stable,,,,
138,650,0.24,0.26,37,35,311.17,339.37,350.12,319.39,0.943256,H_Stable,,,,
139,300,0.28,0.06,10,7,316.63,339.27,349.14,319.36,0.891235,L_Stable,,,,
140,400,0.32,0.12,16,14,315.74,338.28,347.12,318.91,0.890783,L_Stable,,,,
141,500,0.09,0.17,22,22,314.32,337.34,345.14,318.63,0.901146,L_Stable,,,,
142,550,0.08,0.2,24,26,313.72,336.32,342.12,318.41,0.901345,L_Stable,,,,
143,588,0.14,0.24,31,30,312.43,336.15,340.14,317.47,L_Stable,L_Stable,,,,
144,650,0.2,0.26,40,33,312.32,335.31,339.12,317.22,L_Stable,L_Stable,,,,
145,300,0.08,0.06,9,6,315.24,360.25,368.22,321.17,0.891235,L_Stable,,,,
146,400,0.14,0.12,15,12,314.27,358.25,367.17,321.16,0.890783,L_Stable,,,,
147,500,0.2,0.17,21,21,313.31,354.31,366.14,321.15,0.901146,L_Stable,,,,
148,550,0.24,0.2,25,27,312.67,351.27,365.12,321.14,0.901345,L_Stable,,,,
149,588,0.26,0.24,32,31,311.21,349.29,364.14,321.13,0.912367,H_Stable,,,,
150,650,0.32,0.26,37,35,311.17,347.73,363.12,321.12,0.943256,H_Stable,,,,
151,300,0.09,0.06,10,7,316.63,347.02,362.14,321.11,0.891235,L_Stable,,,,
152,400,0.08,0.12,16,14,315.74,346.65,361.12,321.11,0.890783,L_Stable,,,,
153,500,0.14,0.17,22,22,314.32,346.21,360.14,320.14,0.901146,L_Stable,,,,
154,550,0.2,0.2,24,26,313.72,345.93,359.12,320.13,0.901345,L_Stable,,,,
155,588,0.24,0.24,31,30,312.43,345.89,358.14,320.12,0.912367,H_Stable,,,,
156,650,0.28,0.26,40,33,312.32,344.65,357.12,320.11,0.943256,H_Stable,,,,
157,300,0.32,0.06,9,6,315.24,344.69,356.14,320.09,0.891235,L_Stable,,,,
158,400,0.09,0.12,15,12,314.27,343.34,354.12,320.08,0.890783,L_Stable,,,,
159,500,0.08,0.17,21,21,313.31,342.91,353.14,320.07,0.901146,L_Stable,,,,
160,550,0.14,0.2,25,27,312.67,341.68,352.12,319.43,0.901345,L_Stable,,,,
161,588,0.2,0.24,32,31,311.21,340.47,351.14,319.4,0.912367,H_Stable,,,,
162,650,0.24,0.26,37,35,311.17,339.37,350.12,319.39,0.943256,H_Stable,,,,
163,300,0.28,0.06,10,7,316.63,339.27,349.14,319.36,0.891235,L_Stable,,,,
164,400,0.32,0.12,16,14,315.74,338.28,347.12,318.91,0.890783,L_Stable,,,,
165,500,0.09,0.17,22,22,314.32,337.34,345.14,318.63,0.901146,L_Stable,,,,
166,550,0.08,0.2,24,26,313.72,336.32,342.12,318.41,0.901345,L_Stable,,,,
167,588,0.14,0.24,31,30,312.43,336.15,340.14,317.47,L_Stable,L_Stable,,,,
168,650,0.2,0.26,40,33,312.32,335.31,339.12,317.22,L_Stable,L_Stable,,,,
169,300,0.08,0.06,9,6,315.24,360.25,368.22,321.17,0.891235,L_Stable,,,,
170,400,0.14,0.12,15,12,314.27,358.25,367.17,321.16,0.890783,L_Stable,,,,
171,500,0.2,0.17,21,21,313.31,354.31,366.14,321.15,0.901146,L_Stable,,,,
172,550,0.24,0.2,25,27,312.67,351.27,365.12,321.14,0.901345,L_Stable,,,,
173,588,0.26,0.24,32,31,311.21,349.29,364.14,321.13,0.912367,H_Stable,,,,
174,650,0.32,0.26,37,35,311.17,347.73,363.12,321.12,0.943256,H_Stable,,,,
175,300,0.09,0.06,10,7,316.63,347.02,362.14,321.11,0.891235,L_Stable,,,,
176,400,0.08,0.12,16,14,315.74,346.65,361.12,321.11,0.890783,L_Stable,,,,
177,500,0.14,0.17,22,22,314.32,346.21,360.14,320.14,0.901146,L_Stable,,,,
178,550,0.2,0.2,24,26,313.72,345.93,359.12,320.13,0.901345,L_Stable,,,,
179,588,0.24,0.24,31,30,312.43,345.89,358.14,320.12,0.912367,H_Stable,,,,
180,650,0.28,0.26,40,33,312.32,344.65,357.12,320.11,0.943256,H_Stable,,,,
181,300,0.32,0.06,9,6,315.24,344.69,356.14,320.09,0.891235,L_Stable,,,,
182,400,0.09,0.12,15,12,314.27,343.34,354.12,320.08,0.890783,L_Stable,,,,
183,500,0.08,0.17,21,21,313.31,342.91,353.14,320.07,0.901146,L_Stable,,,,
184,550,0.14,0.2,25,27,312.67,341.68,352.12,319.43,0.901345,L_Stable,,,,
185,588,0.2,0.24,32,31,311.21,340.47,351.14,319.4,0.912367,H_Stable,,,,
186,650,0.24,0.26,37,35,311.17,339.37,350.12,319.39,0.943256,H_Stable,,,,
187,300,0.28,0.06,10,7,316.63,339.27,349.14,319.36,0.891235,L_Stable,,,,
188,400,0.32,0.12,16,14,315.74,338.28,347.12,318.91,0.890783,L_Stable,,,,
189,500,0.09,0.17,22,22,314.32,337.34,345.14,318.63,0.901146,L_Stable,,,,
190,550,0.08,0.2,24,26,313.72,336.32,342.12,318.41,0.901345,L_Stable,,,,
191,588,0.14,0.24,31,30,312.43,336.15,340.14,317.47,L_Stable,L_Stable,,,,
192,650,0.2,0.26,40,33,312.32,335.31,339.12,317.22,L_Stable,L_Stable,,,,
193,300,0.08,0.06,9,6,315.24,360.25,368.22,321.17,0.891235,L_Stable,,,,
194,400,0.14,0.12,15,12,314.27,358.25,367.17,321.16,0.890783,L_Stable,,,,
195,500,0.2,0.17,21,21,313.31,354.31,366.14,321.15,0.901146,L_Stable,,,,
196,550,0.24,0.2,25,27,312.67,351.27,365.12,321.14,0.901345,L_Stable,,,,
197,588,0.26,0.24,32,31,311.21,349.29,364.14,321.13,0.912367,H_Stable,,,,
198,650,0.32,0.26,37,35,311.17,347.73,363.12,321.12,0.943256,H_Stable,,,,
199,300,0.09,0.06,10,7,316.63,347.02,362.14,321.11,0.891235,L_Stable,,,,
200,400,0.08,0.12,16,14,315.74,346.65,361.12,321.11,0.890783,L_Stable,,,,
201,500,0.14,0.17,22,22,314.32,346.21,360.14,320.14,0.901146,L_Stable,,,,
202,550,0.2,0.2,24,26,313.72,345.93,359.12,320.13,0.901345,L_Stable,,,,
203,588,0.24,0.24,31,30,312.43,345.89,358.14,320.12,0.912367,H_Stable,,,,
204,650,0.28,0.26,40,33,312.32,344.65,357.12,320.11,0.943256,H_Stable,,,,
205,300,0.32,0.06,9,6,315.24,344.69,356.14,320.09,0.891235,L_Stable,,,,
206,400,0.09,0.12,15,12,314.27,343.34,354.12,320.08,0.890783,L_Stable,,,,
207,500,0.08,0.17,21,21,313.31,342.91,353.14,320.07,0.901146,L_Stable,,,,
208,550,0.14,0.2,25,27,312.67,341.68,352.12,319.43,0.901345,L_Stable,,,,
209,588,0.2,0.24,32,31,311.21,340.47,351.14,319.4,0.912367,H_Stable,,,,
210,650,0.24,0.26,37,35,311.17,339.37,350.12,319.39,0.943256,H_Stable,,,,
211,300,0.28,0.06,10,7,316.63,339.27,349.14,319.36,0.891235,L_Stable,,,,
212,400,0.32,0.12,16,14,315.74,338.28,347.12,318.91,0.890783,L_Stable,,,,
213,500,0.09,0.17,22,22,314.32,337.34,345.14,318.63,0.901146,L_Stable,,,,
214,550,0.08,0.2,24,26,313.72,336.32,342.12,318.41,0.901345,L_Stable,,,,
215,588,0.14,0.24,31,30,312.43,336.15,340.14,317.47,L_Stable,L_Stable,,,,
216,650,0.2,0.26,40,33,312.32,335.31,339.12,317.22,L_Stable,L_Stable,,,,
217,300,0.08,0.06,9,6,315.24,360.25,368.22,321.17,0.891235,L_Stable,,,,
218,400,0.14,0.12,15,12,314.27,358.25,367.17,321.16,0.890783,L_Stable,,,,
219,500,0.2,0.17,21,21,313.31,354.31,366.14,321.15,0.901146,L_Stable,,,,
220,550,0.24,0.2,25,27,312.67,351.27,365.12,321.14,0.901345,L_Stable,,,,
221,588,0.26,0.24,32,31,311.21,349.29,364.14,321.13,0.912367,H_Stable,,,,
222,650,0.32,0.26,37,35,311.17,347.73,363.12,321.12,0.943256,H_Stable,,,,
223,300,0.09,0.06,10,7,316.63,347.02,362.14,321.11,0.891235,L_Stable,,,,
224,400,0.08,0.12,16,14,315.74,346.65,361.12,321.11,0.890783,L_Stable,,,,
225,500,0.14,0.17,22,22,314.32,346.21,360.14,320.14,0.901146,L_Stable,,,,
226,550,0.2,0.2,24,26,313.72,345.93,359.12,320.13,0.901345,L_Stable,,,,
227,588,0.24,0.24,31,30,312.43,345.89,358.14,320.12,0.912367,H_Stable,,,,
228,650,0.28,0.26,40,33,312.32,344.65,357.12,320.11,0.943256,H_Stable,,,,
229,300,0.32,0.06,9,6,315.24,344.69,356.14,320.09,0.891235,L_Stable,,,,
230,400,0.09,0.12,15,12,314.27,343.34,354.12,320.08,0.890783,L_Stable,,,,
231,500,0.08,0.17,21,21,313.31,342.91,353.14,320.07,0.901146,L_Stable,,,,
232,550,0.14,0.2,25,27,312.67,341.68,352.12,319.43,0.901345,L_Stable,,,,
233,588,0.2,0.24,32,31,311.21,340.47,351.14,319.4,0.912367,H_Stable,,,,
234,650,0.24,0.26,37,35,311.17,339.37,350.12,319.39,0.943256,H_Stable,,,,
235,300,0.28,0.06,10,7,316.63,339.27,349.14,319.36,0.891235,L_Stable,,,,
236,400,0.32,0.12,16,14,315.74,338.28,347.12,318.91,0.890783,L_Stable,,,,
237,500,0.09,0.17,22,22,314.32,337.34,345.14,318.63,0.901146,L_Stable,,,,
238,550,0.08,0.2,24,26,313.72,336.32,342.12,318.41,0.901345,L_Stable,,,,
239,588,0.14,0.24,31,30,312.43,336.15,340.14,317.47,L_Stable,L_Stable,,,,
240,650,0.2,0.26,40,33,312.32,335.31,339.12,317.22,L_Stable,L_Stable,,,,
241,300,0.08,0.06,9,6,315.24,360.25,368.22,321.17,0.891235,L_Stable,,,,
242,400,0.14,0.12,15,12,314.27,358.25,367.17,321.16,0.890783,L_Stable,,,,
243,500,0.2,0.17,21,21,313.31,354.31,366.14,321.15,0.901146,L_Stable,,,,
244,550,0.24,0.2,25,27,312.67,351.27,365.12,321.14,0.901345,L_Stable,,,,
245,588,0.26,0.24,32,31,311.21,349.29,364.14,321.13,0.912367,H_Stable,,,,
246,650,0.32,0.26,37,35,311.17,347.73,363.12,321.12,0.943256,H_Stable,,,,
247,300,0.09,0.06,10,7,316.63,347.02,362.14,321.11,0.891235,L_Stable,,,,
248,400,0.08,0.12,16,14,315.74,346.65,361.12,321.11,0.890783,L_Stable,,,,
249,500,0.14,0.17,22,22,314.32,346.21,360.14,320.14,0.901146,L_Stable,,,,
250,550,0.2,0.2,24,26,313.72,345.93,359.12,320.13,0.901345,L_Stable,,,,
251,588,0.24,0.24,31,30,312.43,345.89,358.14,320.12,0.912367,H_Stable,,,,
252,650,0.28,0.26,40,33,312.32,344.65,357.12,320.11,0.943256,H_Stable,,,,
253,300,0.32,0.06,9,6,315.24,344.69,356.14,320.09,0.891235,L_Stable,,,,
254,400,0.09,0.12,15,12,314.27,343.34,354.12,320.08,0.890783,L_Stable,,,,
255,500,0.08,0.17,21,21,313.31,342.91,353.14,320.07,0.901146,L_Stable,,,,
256,550,0.14,0.2,25,27,312.67,341.68,352.12,319.43,0.901345,L_Stable,,,,
257,588,0.2,0.24,32,31,311.21,340.47,351.14,319.4,0.912367,H_Stable,,,,
258,650,0.24,0.26,37,35,311.17,339.37,350.12,319.39,0.943256,H_Stable,,,,
259,300,0.28,0.06,10,7,316.63,339.27,349.14,319.36,0.891235,L_Stable,,,,
260,400,0.32,0.12,16,14,315.74,338.28,347.12,318.91,0.890783,L_Stable,,,,
261,500,0.09,0.17,22,22,314.32,337.34,345.14,318.63,0.901146,L_Stable,,,,
262,550,0.08,0.2,24,26,313.72,336.32,342.12,318.41,0.901345,L_Stable,,,,
263,588,0.14,0.24,31,30,312.43,336.15,340.14,317.47,L_Stable,L_Stable,,,,
264,650,0.2,0.26,40,33,312.32,335.31,339.12,317.22,L_Stable,L_Stable,,,,
265,300,0.08,0.06,9,6,315.24,360.25,368.22,321.17,0.891235,L_Stable,,,,
266,400,0.14,0.12,15,12,314.27,358.25,367.17,321.16,0.890783,L_Stable,,,,
267,500,0.2,0.17,21,21,313.31,354.31,366.14,321.15,0.901146,L_Stable,,,,
268,550,0.24,0.2,25,27,312.67,351.27,365.12,321.14,0.901345,L_Stable,,,,
269,588,0.26,0.24,32,31,311.21,349.29,364.14,321.13,0.912367,H_Stable,,,,
270,650,0.32,0.26,37,35,311.17,347.73,363.12,321.12,0.943256,H_Stable,,,,
271,300,0.09,0.06,10,7,316.63,347.02,362.14,321.11,0.891235,L_Stable,,,,
272,400,0.08,0.12,16,14,315.74,346.65,361.12,321.11,0.890783,L_Stable,,,,
273,500,0.14,0.17,22,22,314.32,346.21,360.14,320.14,0.901146,L_Stable,,,,
274,550,0.2,0.2,24,26,313.72,345.93,359.12,320.13,0.901345,L_Stable,,,,
275,588,0.24,0.24,31,30,312.43,345.89,358.14,320.12,0.912367,H_Stable,,,,
276,650,0.28,0.26,40,33,312.32,344.65,357.12,320.11,0.943256,H_Stable,,,,
277,300,0.32,0.06,9,6,315.24,344.69,356.14,320.09,0.891235,L_Stable,,,,
278,400,0.09,0.12,15,12,314.27,343.34,354.12,320.08,0.890783,L_Stable,,,,
279,500,0.08,0.17,21,21,313.31,342.91,353.14,320.07,0.901146,L_Stable,,,,
280,550,0.14,0.2,25,27,312.67,341.68,352.12,319.43,0.901345,L_Stable,,,,
281,588,0.2,0.24,32,31,311.21,340.47,351.14,319.4,0.912367,H_Stable,,,,
282,650,0.24,0.26,37,35,311.17,339.37,350.12,319.39,0.943256,H_Stable,,,,
283,300,0.28,0.06,10,7,316.63,339.27,349.14,319.36,0.891235,L_Stable,,,,
284,400,0.32,0.12,16,14,315.74,338.28,347.12,318.91,0.890783,L_Stable,,,,
285,500,0.09,0.17,22,22,314.32,337.34,345.14,318.63,0.901146,L_Stable,,,,
286,550,0.08,0.2,24,26,313.72,336.32,342.12,318.41,0.901345,L_Stable,,,,
287,588,0.14,0.24,31,30,312.43,336.15,340.14,317.47,L_Stable,L_Stable,,,,
288,650,0.2,0.26,40,33,312.32,335.31,339.12,317.22,L_Stable,L_Stable,,,,
289,300,0.08,0.06,9,6,315.24,360.25,368.22,321.17,0.891235,L_Stable,,,,
290,400,0.14,0.12,15,12,314.27,358.25,367.17,321.16,0.890783,L_Stable,,,,
291,500,0.2,0.17,21,21,313.31,354.31,366.14,321.15,0.901146,L_Stable,,,,
292,550,0.24,0.2,25,27,312.67,351.27,365.12,321.14,0.901345,L_Stable,,,,
293,588,0.26,0.24,32,31,311.21,349.29,364.14,321.13,0.912367,H_Stable,,,,
294,650,0.32,0.26,37,35,311.17,347.73,363.12,321.12,0.943256,H_Stable,,,,
295,300,0.09,0.06,10,7,316.63,347.02,362.14,321.11,0.891235,L_Stable,,,,
